,phrase,label,sentiment,subjectivity,language,count
Craig Tiley,Craig Tiley,PERSON,0.0,0.0,en,1.0
Wirtualna Polska,Wirtualna Polska,PERSON,0.0,0.0,en,1.0
Paweł Wąsek,Paweł Wąsek,PERSON,0.0,0.4,en,1.0
Kacper Tomasiak,Kacper Tomasiak,PERSON,0.2,0.2875,en,1.0
Konrad Niedźwiedzki,Konrad Niedźwiedzki,PERSON,0.0,0.0,en,1.0
Andżelika Wójcik,Andżelika Wójcik,PERSON,0.3,0.5,en,1.0
Tomaszów Mazowiecki,Tomaszów Mazowiecki,PERSON,0.0,0.0,en,1.0
Zbigniew Bródka,Zbigniew Bródka,PERSON,0.0,0.0,en,1.0
Joanna Scheuring-Wielgus,Joanna Scheuring-Wielgus,PERSON,0.0,0.0,en,1.0
Sebastian Kaleta,Sebastian Kaleta,PERSON,0.0,0.25,en,1.0
PiS MP,PiS MP,PERSON,0.0,0.25,en,1.0
Bart De Wever,Bart De Wever,PERSON,0.0,1.0,en,1.0
